,,,,,,,,,,,,
,,,,,,,,,,,,
Years,Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
2014 to 2023,,7,30,93,95,130,105,171,361,181,107,1280
,,,,,,,,,,,,
Gender Factor,Male,7,22,72,73,99,71,151,279,128,55,957
,Female,0,8,21,22,31,34,20,82,53,52,323
Total,,7,30,93,95,130,105,171,361,181,107,1280
Biological Factor,Differently abled,0,2,1,2,0,4,1,8,4,4,26
,Mentally Retarded,0,0,0,1,0,0,1,1,1,1,5
Total,,,,,,,,,,,,
Social Factor,Substance abuse,0,1,2,0,0,0,1,6,4,3,17
,Accident Victims,0,0,1,2,0,1,1,7,9,1,22
,Mentally ill,1,1,13,25,58,35,33,95,68,40,369
,Left over by their Family,6,3,34,31,25,31,108,169,49,42,498
Total,,,,,,,,,,,,
Physical Factor,Dying destitute,0,21,29,25,23,6,11,41,6,4,166
,Affected by disease,0,0,11,9,24,17,4,23,22,3,113
,Unable to walk,0,2,2,0,0,11,11,11,18,9,64
Total,,,,,,,,,,,,1280
Age Factor,20-40 – Adulthood (add 11),2,2,19,18,23,18,53,60,24,17,236
,41- 59 – Middle Age,3,8,34,29,44,23,65,118,65,36,425
,60 – 69 -Young old,2,10,23,24,32,35,51,61,67,21,326
,70 – 79 – Middle old,0,5,12,14,21,31,12,68,32,20,215
,80+ - oldest old or frail old,0,4,5,8,8,5,7,14,12,13,76
,100+ - Centurion,0,1,0,0,0,0,0,1,0,0,2
Total,,,,,,,,,,,,1280
